id,title,year,rating,rating_category,processed_text,title_length
1112552,Kennedy,2023,7.5,Good,kennedy,7
453989,Aashiqui 3,,5.246904917,Bad,aashiqui,10
300712,5 Rifles,1974,7,Bad,rifle,8
1002082,Babli Bouncer,2022,6,Neutral,babli bouncer,13
534139,Go Goa Gone 2,,5.121796644,Bad,go goa gone,13
1201015,Madgaon Express,2023,5.346415642,Bad,madgaon express,15
268305,Zindagi Ek Juaa,1992,6,Neutral,zindagi ek juaa,15
1103937,Operation Mayfair,2023,4,Bad,operation mayfair,17
768466,Janhit Mein Jaari,2022,6.8,Neutral,janhit mein jaari,17
78701,Kisna,2005,7.4,Good,kisna,5
936229,Shastry Virudh Shastry,2023,6.451333022,Bad,shastry virudh shastry,22
656566,Amit Tandon: Family Tandoncies,2020,5.5,Neutral,amit tandon family tandoncies,30
131156,Raja Jani,1972,6.5,Neutral,raja jani,9
589469,377 Ab Normal,2019,6,Neutral,ab normal,13
314865,Cheekh,1985,5.144395005,Bad,cheekh,6
54969,Daud,1997,5.3,Neutral,daud,4
1144071,Ek Anjaan Rishtey Ka Guilt 2,2022,6.863834221,Bad,ek anjaan rishtey ka guilt,28
939423,Afwaah,2023,5.9,Neutral,afwaah,6
21557,A Thousand Desires Like These,2003,7.1,Good,thousand desire like,29
984092,The Great Indian Family,2023,4.3,Bad,great indian family,23
795589,Khichdi 2,2021,5.121298745,Bad,khichdi,9
551745,Mere Pyare Prime Minister,2019,6.4,Neutral,mere pyare prime minister,25
118133,Ijaazat,1987,7.3,Good,ijaazat,7
608062,Hawalaat,1987,10,Good,hawalaat,8
850180,Lost,2023,5,Neutral,lost,4
331295,Gair Kanooni,1989,3,Bad,gair kanooni,12
39218,"Main, Meri Patni Aur Woh",2005,5.8,Neutral,main meri patni aur woh,24
455549,The Wishing Tree,2017,5.3,Neutral,wishing tree,16
249514,Heeralaal Pannalaal,1978,5,Neutral,heeralaal pannalaal,19
579396,Karobaar,2000,7,Bad,karobaar,8
1021166,Code Name: Tiranga,2022,4.4,Bad,code name tiranga,18
51728,Crook,2010,5.1,Neutral,crook,5
1081726,Bheed,2023,5.9,Neutral,bheed,5
881983,Salaam Venky,2022,7,Bad,salaam venky,12
19668,Jai Veeru,2009,5.7,Neutral,jai veeru,9
117096,Ab Ke Baras,2002,5,Neutral,ab ke baras,11
221026,"Suddenly, One Day",1989,6.7,Neutral,suddenly one day,17
21263,Life Partner,2009,4.4,Bad,life partner,12
1009723,Middle Class Love,2022,5.5,Neutral,middle class love,17
301612,Allah Rakha,1986,6.334046943,Bad,allah rakha,11
505426,Shehzaade,1989,3,Bad,shehzaade,9
418655,Jaane Anjaane,1971,10,Good,jaane anjaane,13
32134,Bal Ganesh,2007,6,Neutral,bal ganesh,10
1142643,1920: Horrors of the Heart,2023,3.6,Bad,horror heart,26
869014,Pati Patni Aur Postman,2020,5.956475976,Bad,pati patni aur postman,22
850928,Love Duo,2020,5.184484542,Bad,love duo,8
357833,Suryaa: An Awakening,1989,10,Good,suryaa awakening,20
1011874,Match Of Life,2022,5.469349619,Bad,match life,13
472470,Qaidi Band,2017,6,Neutral,qaidi band,10
61182,F.A.L.T.U.,2011,5.5,Neutral,,10
353810,Positive,2007,10,Good,positive,8
46619,Yaadon Ki Baaraat,1973,7.8,Good,yaadon ki baaraat,17
35751,Seeta and Geeta,1972,6.7,Neutral,seeta geeta,15
1125221,Chatrapathi,2023,7,Bad,chatrapathi,11
433086,Machines,2017,6.1,Neutral,machine,8
49028,Rakht Charitra,2010,6.9,Neutral,rakht charitra,14
413911,Kalakaar,1983,5.177782947,Bad,kalakaar,8
985438,First Kill,1999,6.3662381,Bad,first kill,10
38253,City of Gold,2010,5.3,Neutral,city gold,12
19276,Dhoondte Reh Jaaoge,2009,4.5,Neutral,dhoondte reh jaaoge,19
926915,Funkaar,2023,5.338772111,Bad,funkaar,7
270417,The Xposé,2014,4.8,Neutral,xposé,9
348762,Jis Desh Mein Ganga Rehta Hai,2000,5.6,Neutral,ji desh mein ganga rehta hai,29
480654,Aakhri Cheekh,1991,4,Bad,aakhri cheekh,13
461786,Pardesi Babu,1998,6.8,Neutral,pardesi babu,12
709681,Chaman Bahar,2020,5.1,Neutral,chaman bahar,12
578435,Anukul,2017,8.5,Good,anukul,6
1099967,Starfish,2023,6.361852347,Bad,starfish,8
302882,Bambai Ka Babu,1996,7.3,Good,bambai ka babu,14
307991,The Eternal Lamp,1958,6.610887733,Bad,eternal lamp,16
1145809,Sergeant,2023,2,Bad,sergeant,8
403540,Mirzya,2016,6.2,Neutral,mirzya,6
38252,Apartment,2010,4.3,Bad,apartment,9
141166,Dil Aashna Hai,1992,6.9,Neutral,dil aashna hai,14
668340,Maidaan,2024,6.864219493,Bad,maidaan,7
376371,Dushmani,1995,6.8,Neutral,dushmani,8
671971,Shejari Shejari,1991,6.792472138,Bad,shejari shejari,15
473047,Satyamev Jayate,1987,5,Neutral,satyamev jayate,15
1086500,Safed,2023,5.137314477,Bad,safed,5
1147546,The Diplomat,2024,5.458072499,Bad,diplomat,12
171879,The Attacks Of 26/11,2013,7.2,Good,attack,20
70366,Sahib Bibi aur Ghulam,1962,6.7,Neutral,sahib bibi aur ghulam,21
850837,Blurr,2022,4,Bad,blurr,5
127531,Deewaar: Let's Bring Our Heroes Home,2004,6,Neutral,deewaar let bring hero home,36
